
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-63.666924  
 2    	0.0449    	-64.241943  
 3    	0.0899    	-64.888794  
 4    	0.1348    	-64.745049  
 5    	0.1798    	-64.745049  
 6    	0.2247    	-64.241943  
 7    	0.2697    	-64.170044  
 8    	0.3146    	-64.745049  
 9    	0.3596    	-65.679443  
 10   	0.4045    	-65.248169  
 11   	0.4494    	-64.529419  
 12   	0.4944    	-65.391907  
 13   	0.5393    	-65.391907  
 14   	0.5843    	-65.391907  
 15   	0.6292    	-64.170044  
 16   	0.6742    	-65.104424  
 17   	0.7191    	-65.535637  
 18   	0.7640    	-66.254387  
 19   	0.8090    	-64.385674  
 20   	0.8539    	-64.098145  
 21   	0.8989    	-63.954399  
 22   	0.9438    	-65.032532  
 23   	0.9888    	-64.529419  
 24   	1.0337    	-64.026299  
 25   	1.0787    	-63.451290  
 26   	1.1236    	-63.451290  
 27   	1.1685    	-63.595024  
 28   	1.2135    	-64.026299  
 29   	1.2584    	-64.888794  
 30   	1.3034    	-64.673157  
 31   	1.3483    	-64.888794  
 32   	1.3933    	-65.104424  
 33   	1.4382    	-65.032532  
 34   	1.4831    	-65.248169  
 35   	1.5281    	-65.176262  
 36   	1.5730    	-65.535637  
 37   	1.6180    	-65.032532  
 38   	1.6629    	-64.026299  
 39   	1.7079    	-64.457512  
 40   	1.7528    	-65.391907  
 41   	1.7978    	-65.104424  
 42   	1.8427    	-65.320068  
 43   	1.8876    	-65.535637  
 44   	1.9326    	-65.176262  
 45   	1.9775    	-64.241943  
 46   	2.0225    	-64.673157  
 47   	2.0674    	-63.810665  
 48   	2.1124    	-65.248169  
 49   	2.1573    	-65.535637  
 50   	2.2022    	-66.110657  
 51   	2.2472    	-65.176262  
 52   	2.2921    	-65.966919  
 53   	2.3371    	-66.685661  
 54   	2.3820    	-66.541924  
 55   	2.4270    	-65.823174  
 56   	2.4719    	-65.535637  
 57   	2.5169    	-66.038818  
 58   	2.5618    	-65.104424  
 59   	2.6067    	-65.751282  
 60   	2.6517    	-65.391907  
 61   	2.6966    	-65.607544  
 62   	2.7416    	-65.535637  
 63   	2.7865    	-66.182549  
 64   	2.8315    	-66.182549  
 65   	2.8764    	-66.470032  
 66   	2.9213    	-65.463799  
 67   	2.9663    	-65.823174  
 68   	3.0112    	-65.607544  
 69   	3.0562    	-66.829407  
 70   	3.1011    	-67.188782  
 71   	3.1461    	-66.757568  
 72   	3.1910    	-66.829407  
 73   	3.2360    	-66.326286  
 74   	3.2809    	-65.320068  
 75   	3.3258    	-65.679443  
 76   	3.3708    	-66.182549  
 77   	3.4157    	-65.823174  
 78   	3.4607    	-66.757568  
 79   	3.5056    	-66.829407  
 80   	3.5506    	-66.685661  
 81   	3.5955    	-66.326286  
 82   	3.6404    	-66.757568  
 83   	3.6854    	-66.182549  
 84   	3.7303    	-65.751282  
 85   	3.7753    	-66.254387  
 86   	3.8202    	-66.613762  
 87   	3.8652    	-66.685661  
 88   	3.9101    	-66.398193  
 89   	3.9551    	-64.816887  
 90   	4.0000    	-65.679443  
 91   	4.0449    	-66.182549  
 92   	4.0899    	-66.038818  
 93   	4.1348    	-65.751282  
