
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-82.929436  
 2    	0.0449    	-83.576294  
 3    	0.0899    	-83.216919  
 4    	0.1348    	-83.648186  
 5    	0.1798    	-84.582520  
 6    	0.2247    	-84.510674  
 7    	0.2697    	-83.935669  
 8    	0.3146    	-83.863770  
 9    	0.3596    	-83.216919  
 10   	0.4045    	-83.935669  
 11   	0.4494    	-83.648186  
 12   	0.4944    	-83.432549  
 13   	0.5393    	-82.498161  
 14   	0.5843    	-81.995049  
 15   	0.6292    	-82.138786  
 16   	0.6742    	-81.491936  
 17   	0.7191    	-83.216919  
 18   	0.7640    	-82.282524  
 19   	0.8090    	-83.432549  
 20   	0.8539    	-83.145020  
 21   	0.8989    	-82.785645  
 22   	0.9438    	-83.145020  
 23   	0.9888    	-83.648186  
 24   	1.0337    	-83.432549  
 25   	1.0787    	-83.073174  
 26   	1.1236    	-83.001274  
 27   	1.1685    	-81.995049  
 28   	1.2135    	-82.498161  
 29   	1.2584    	-82.929436  
 30   	1.3034    	-82.426270  
 31   	1.3483    	-82.210686  
 32   	1.3933    	-82.426270  
 33   	1.4382    	-82.426270  
 34   	1.4831    	-83.216919  
 35   	1.5281    	-84.151299  
 36   	1.5730    	-83.648186  
 37   	1.6180    	-83.863770  
 38   	1.6629    	-83.360649  
 39   	1.7079    	-83.145020  
 40   	1.7528    	-83.360649  
 41   	1.7978    	-83.360649  
 42   	1.8427    	-83.935669  
 43   	1.8876    	-84.726311  
 44   	1.9326    	-83.720024  
 45   	1.9775    	-84.654419  
 46   	2.0225    	-84.295044  
 47   	2.0674    	-82.857544  
 48   	2.1124    	-83.576294  
 49   	2.1573    	-83.073174  
 50   	2.2022    	-83.360649  
 51   	2.2472    	-83.360649  
 52   	2.2921    	-83.791924  
 53   	2.3371    	-84.438774  
 54   	2.3820    	-84.366936  
 55   	2.4270    	-83.001274  
 56   	2.4719    	-83.360649  
 57   	2.5169    	-83.360649  
 58   	2.5618    	-83.145020  
 59   	2.6067    	-82.785645  
 60   	2.6517    	-83.360649  
 61   	2.6966    	-82.929436  
 62   	2.7416    	-83.504395  
 63   	2.7865    	-83.863770  
 64   	2.8315    	-83.648186  
 65   	2.8764    	-84.295044  
 66   	2.9213    	-83.648186  
 67   	2.9663    	-83.001274  
 68   	3.0112    	-83.001274  
 69   	3.0562    	-83.504395  
 70   	3.1011    	-83.360649  
 71   	3.1461    	-83.576294  
 72   	3.1910    	-84.510674  
 73   	3.2360    	-85.301270  
 74   	3.2809    	-84.223145  
 75   	3.3258    	-83.935669  
 76   	3.3708    	-84.654419  
 77   	3.4157    	-83.432549  
 78   	3.4607    	-82.785645  
 79   	3.5056    	-83.432549  
 80   	3.5506    	-83.360649  
 81   	3.5955    	-83.360649  
 82   	3.6404    	-83.216919  
 83   	3.6854    	-83.145020  
 84   	3.7303    	-84.079399  
 85   	3.7753    	-84.151299  
 86   	3.8202    	-83.863770  
 87   	3.8652    	-84.007561  
 88   	3.9101    	-83.216919  
 89   	3.9551    	-81.851311  
 90   	4.0000    	-82.210686  
 91   	4.0449    	-82.785645  
 92   	4.0899    	-83.360649  
 93   	4.1348    	-83.791924  
