
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-3.431274   
 2    	0.0449    	-4.293762   
 3    	0.0899    	-3.790649   
 4    	0.1348    	-3.071899   
 5    	0.1798    	-2.856262   
 6    	0.2247    	-2.928161   
 7    	0.2697    	-3.575012   
 8    	0.3146    	-3.143799   
 9    	0.3596    	-3.862549   
 10   	0.4045    	-4.006287   
 11   	0.4494    	-5.084412   
 12   	0.4944    	-4.006287   
 13   	0.5393    	-5.156311   
 14   	0.5843    	-4.653137   
 15   	0.6292    	-4.221923   
 16   	0.6742    	-3.575012   
 17   	0.7191    	-3.790649   
 18   	0.7640    	-3.431274   
 19   	0.8090    	-4.293762   
 20   	0.8539    	-4.150024   
 21   	0.8989    	-3.071899   
 22   	0.9438    	-3.503174   
 23   	0.9888    	-4.509399   
 24   	1.0337    	-4.150024   
 25   	1.0787    	-4.940673   
 26   	1.1236    	-3.790649   
 27   	1.1685    	-4.150024   
 28   	1.2135    	-3.718811   
 29   	1.2584    	-3.287536   
 30   	1.3034    	-2.928161   
 31   	1.3483    	-2.928161   
 32   	1.3933    	-2.353149   
 33   	1.4382    	-3.862549   
 34   	1.4831    	-3.934387   
 35   	1.5281    	-3.215637   
 36   	1.5730    	-3.575012   
 37   	1.6180    	-3.575012   
 38   	1.6629    	-3.431274   
 39   	1.7079    	-3.431274   
 40   	1.7528    	-3.934387   
 41   	1.7978    	-3.718811   
 42   	1.8427    	-4.365662   
 43   	1.8876    	-3.862549   
 44   	1.9326    	-3.287536   
 45   	1.9775    	-3.646911   
 46   	2.0225    	-4.078186   
 47   	2.0674    	-4.006287   
 48   	2.1124    	-3.287536   
 49   	2.1573    	-4.150024   
 50   	2.2022    	-3.718811   
 51   	2.2472    	-3.431274   
 52   	2.2921    	-3.359436   
 53   	2.3371    	-3.071899   
 54   	2.3820    	-3.575012   
 55   	2.4270    	-3.431274   
 56   	2.4719    	-4.581298   
 57   	2.5169    	-4.725037   
 58   	2.5618    	-4.653137   
 59   	2.6067    	-3.575012   
 60   	2.6517    	-3.287536   
 61   	2.6966    	-2.784424   
 62   	2.7416    	-2.928161   
 63   	2.7865    	-2.928161   
 64   	2.8315    	-3.071899   
 65   	2.8764    	-3.143799   
 66   	2.9213    	-3.862549   
 67   	2.9663    	-3.359436   
 68   	3.0112    	-3.431274   
 69   	3.0562    	-3.790649   
 70   	3.1011    	-3.646911   
 71   	3.1461    	-3.862549   
 72   	3.1910    	-3.431274   
 73   	3.2360    	-3.862549   
 74   	3.2809    	-4.509399   
 75   	3.3258    	-4.437561   
 76   	3.3708    	-4.509399   
 77   	3.4157    	-4.725037   
 78   	3.4607    	-4.150024   
 79   	3.5056    	-4.078186   
 80   	3.5506    	-3.646911   
 81   	3.5955    	-3.359436   
 82   	3.6404    	-3.287536   
 83   	3.6854    	-3.862549   
 84   	3.7303    	-3.000061   
 85   	3.7753    	-3.503174   
 86   	3.8202    	-3.575012   
 87   	3.8652    	-3.934387   
 88   	3.9101    	-3.934387   
 89   	3.9551    	-3.646911   
 90   	4.0000    	-2.928161   
 91   	4.0449    	-3.143799   
 92   	4.0899    	-3.503174   
 93   	4.1348    	-3.215637   
