
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-67.795776  
 2    	0.0449    	-68.514526  
 3    	0.0899    	-68.011414  
 4    	0.1348    	-69.017639  
 5    	0.1798    	-68.083252  
 6    	0.2247    	-68.586365  
 7    	0.2697    	-68.873901  
 8    	0.3146    	-69.233276  
 9    	0.3596    	-69.377014  
 10   	0.4045    	-68.802002  
 11   	0.4494    	-69.089539  
 12   	0.4944    	-68.298889  
 13   	0.5393    	-67.867615  
 14   	0.5843    	-68.442635  
 15   	0.6292    	-69.161377  
 16   	0.6742    	-69.305115  
 17   	0.7191    	-69.017639  
 18   	0.7640    	-69.305115  
 19   	0.8090    	-68.586365  
 20   	0.8539    	-68.802002  
 21   	0.8989    	-69.161377  
 22   	0.9438    	-68.011414  
 23   	0.9888    	-67.220764  
 24   	1.0337    	-67.292664  
 25   	1.0787    	-68.155151  
 26   	1.1236    	-68.945740  
 27   	1.1685    	-68.083252  
 28   	1.2135    	-67.795776  
 29   	1.2584    	-67.148865  
 30   	1.3034    	-67.867615  
 31   	1.3483    	-67.795776  
 32   	1.3933    	-69.017639  
 33   	1.4382    	-69.736389  
 34   	1.4831    	-69.233276  
 35   	1.5281    	-68.226990  
 36   	1.5730    	-68.802002  
 37   	1.6180    	-68.083252  
 38   	1.6629    	-69.089539  
 39   	1.7079    	-69.089539  
 40   	1.7528    	-68.873901  
 41   	1.7978    	-68.586365  
 42   	1.8427    	-68.011414  
 43   	1.8876    	-68.442635  
 44   	1.9326    	-68.298889  
 45   	1.9775    	-69.664490  
 46   	2.0225    	-69.520760  
 47   	2.0674    	-69.161377  
 48   	2.1124    	-68.226990  
 49   	2.1573    	-68.586365  
 50   	2.2022    	-68.945740  
 51   	2.2472    	-69.880127  
 52   	2.2921    	-69.880127  
 53   	2.3371    	-68.873901  
 54   	2.3820    	-69.089539  
 55   	2.4270    	-69.664490  
 56   	2.4719    	-69.520760  
 57   	2.5169    	-68.945740  
 58   	2.5618    	-69.089539  
 59   	2.6067    	-69.089539  
 60   	2.6517    	-68.873901  
 61   	2.6966    	-68.442635  
 62   	2.7416    	-68.730171  
 63   	2.7865    	-69.377014  
 64   	2.8315    	-69.736389  
 65   	2.8764    	-69.592651  
 66   	2.9213    	-69.808296  
 67   	2.9663    	-70.023865  
 68   	3.0112    	-69.448914  
 69   	3.0562    	-69.592651  
 70   	3.1011    	-69.017639  
 71   	3.1461    	-69.233276  
 72   	3.1910    	-68.658264  
 73   	3.2360    	-68.370789  
 74   	3.2809    	-68.298889  
 75   	3.3258    	-69.305115  
 76   	3.3708    	-69.664490  
 77   	3.4157    	-69.448914  
 78   	3.4607    	-70.239502  
 79   	3.5056    	-70.742615  
 80   	3.5506    	-70.239502  
 81   	3.5955    	-70.023865  
 82   	3.6404    	-70.383240  
 83   	3.6854    	-70.095764  
 84   	3.7303    	-70.742615  
 85   	3.7753    	-70.383240  
 86   	3.8202    	-69.808296  
 87   	3.8652    	-69.448914  
 88   	3.9101    	-69.520760  
 89   	3.9551    	-68.586365  
 90   	4.0000    	-68.730171  
 91   	4.0449    	-69.161377  
 92   	4.0899    	-68.586365  
 93   	4.1348    	-69.017639  
