
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	0.281233    
 2    	0.0489    	0.484358    
 3    	0.0977    	0.578108    
 4    	0.1466    	0.468733    
 5    	0.1954    	0.359358    
 6    	0.2443    	0.406233    
 7    	0.2931    	0.562483    
 8    	0.3420    	0.562483    
 9    	0.3908    	0.906233    
 10   	0.4397    	0.531233    
 11   	0.4885    	0.468733    
 12   	0.5374    	0.437483    
 13   	0.5862    	0.296858    
 14   	0.6351    	0.296858    
 15   	0.6839    	0.562483    
 16   	0.7328    	0.499983    
 17   	0.7816    	0.718733    
 18   	0.8305    	0.656233    
 19   	0.8793    	0.609358    
 20   	0.9282    	0.359358    
 21   	0.9770    	0.640608    
 22   	1.0259    	0.281233    
 23   	1.0747    	0.281233    
 24   	1.1236    	0.406233    
 25   	1.1724    	0.687483    
 26   	1.2213    	0.515608    
 27   	1.2702    	0.124983    
 28   	1.3190    	0.546858    
 29   	1.3679    	0.437483    
 30   	1.4167    	0.453108    
 31   	1.4656    	0.437483    
 32   	1.5144    	0.484358    
 33   	1.5633    	0.531233    
 34   	1.6121    	0.515608    
 35   	1.6610    	0.281233    
 36   	1.7098    	0.484358    
 37   	1.7587    	0.374983    
 38   	1.8075    	0.453108    
 39   	1.8564    	0.656233    
 40   	1.9052    	0.343733    
 41   	1.9541    	0.499983    
 42   	2.0029    	0.734358    
 43   	2.0518    	0.546858    
 44   	2.1006    	0.249983    
 45   	2.1495    	0.390608    
 46   	2.1983    	0.499983    
 47   	2.2472    	0.374983    
 48   	2.2960    	0.312483    
 49   	2.3449    	0.656233    
 50   	2.3937    	0.562483    
 51   	2.4426    	0.828108    
 52   	2.4915    	0.624983    
 53   	2.5403    	0.406233    
 54   	2.5892    	0.578108    
 55   	2.6380    	0.671858    
 56   	2.6869    	0.531233    
 57   	2.7357    	0.468733    
 58   	2.7846    	0.624983    
 59   	2.8334    	0.406233    
 60   	2.8823    	0.249983    
 61   	2.9311    	0.343733    
 62   	2.9800    	0.296858    
 63   	3.0288    	0.546858    
 64   	3.0777    	0.343733    
 65   	3.1265    	0.359358    
 66   	3.1754    	0.484358    
 67   	3.2242    	0.499983    
 68   	3.2731    	0.406233    
 69   	3.3219    	0.390608    
 70   	3.3708    	0.515608    
 71   	3.4196    	0.484358    
 72   	3.4685    	0.468733    
 73   	3.5173    	0.343733    
 74   	3.5662    	0.296858    
 75   	3.6150    	0.453108    
 76   	3.6639    	0.531233    
 77   	3.7128    	0.593733    
 78   	3.7616    	0.468733    
 79   	3.8105    	0.531233    
 80   	3.8593    	0.296858    
 81   	3.9082    	0.390608    
 82   	3.9570    	0.343733    
 83   	4.0059    	0.499983    
 84   	4.0547    	0.640608    
 85   	4.1036    	0.515608    
 86   	4.1524    	0.531233    
 87   	4.2013    	0.531233    
 88   	4.2501    	0.640608    
 89   	4.2990    	0.281233    
 90   	4.3478    	0.499983    
 91   	4.3967    	0.484358    
 92   	4.4455    	0.265608    
 93   	4.4944    	0.406233    
 94   	4.5432    	0.421858    
 95   	4.5921    	0.406233    
 96   	4.6409    	0.578108    
 97   	4.6898    	0.499983    
 98   	4.7386    	0.656233    
 99   	4.7875    	0.406233    
