
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	0.406264    
 2    	0.0244    	0.000014    
 3    	0.0488    	0.156264    
 4    	0.0733    	0.046889    
 5    	0.0977    	-0.093736   
 6    	0.1221    	-0.031236   
 7    	0.1465    	-0.140611   
 8    	0.1709    	0.171889    
 9    	0.1954    	0.218764    
 10   	0.2198    	-0.234361   
 11   	0.2442    	-0.015611   
 12   	0.2686    	0.250014    
 13   	0.2930    	0.359389    
 14   	0.3175    	0.281264    
 15   	0.3419    	0.312514    
 16   	0.3663    	0.125014    
 17   	0.3907    	-0.015611   
 18   	0.4151    	0.265639    
 19   	0.4396    	-0.062486   
 20   	0.4640    	0.250014    
 21   	0.4884    	0.234389    
 22   	0.5128    	0.250014    
 23   	0.5372    	0.343764    
 24   	0.5617    	0.046889    
 25   	0.5861    	0.046889    
 26   	0.6105    	0.296889    
 27   	0.6349    	0.281264    
 28   	0.6593    	0.187514    
 29   	0.6838    	0.156264    
 30   	0.7082    	0.140639    
 31   	0.7326    	0.125014    
 32   	0.7570    	0.031264    
 33   	0.7814    	0.156264    
 34   	0.8059    	0.187514    
 35   	0.8303    	0.328139    
 36   	0.8547    	0.218764    
 37   	0.8791    	0.250014    
 38   	0.9035    	0.062514    
 39   	0.9280    	-0.031236   
 40   	0.9524    	0.031264    
 41   	0.9768    	0.281264    
 42   	1.0012    	0.296889    
 43   	1.0256    	0.343764    
 44   	1.0501    	0.156264    
 45   	1.0745    	0.156264    
 46   	1.0989    	0.046889    
 47   	1.1233    	0.125014    
 48   	1.1477    	0.281264    
 49   	1.1722    	0.375014    
 50   	1.1966    	0.015639    
 51   	1.2210    	0.156264    
 52   	1.2454    	-0.156236   
 53   	1.2698    	0.218764    
 54   	1.2943    	0.281264    
 55   	1.3187    	0.375014    
 56   	1.3431    	0.250014    
 57   	1.3675    	0.312514    
 58   	1.3919    	0.203139    
 59   	1.4164    	0.109389    
 60   	1.4408    	0.125014    
 61   	1.4652    	0.234389    
 62   	1.4896    	0.046889    
 63   	1.5140    	-0.046861   
 64   	1.5385    	0.093764    
 65   	1.5629    	0.015639    
 66   	1.5873    	0.015639    
 67   	1.6117    	0.156264    
 68   	1.6361    	0.062514    
 69   	1.6606    	0.328139    
 70   	1.6850    	0.156264    
 71   	1.7094    	0.109389    
 72   	1.7338    	0.046889    
 73   	1.7582    	0.156264    
 74   	1.7827    	0.328139    
 75   	1.8071    	0.265639    
 76   	1.8315    	0.046889    
 77   	1.8559    	0.015639    
 78   	1.8803    	0.125014    
 79   	1.9048    	0.234389    
 80   	1.9292    	0.296889    
 81   	1.9536    	0.093764    
 82   	1.9780    	-0.046861   
 83   	2.0024    	-0.171861   
 84   	2.0269    	-0.046861   
 85   	2.0513    	-0.046861   
 86   	2.0757    	-0.015611   
 87   	2.1001    	0.140639    
 88   	2.1245    	0.312514    
 89   	2.1490    	0.234389    
 90   	2.1734    	0.015639    
 91   	2.1978    	-0.265611   
 92   	2.2222    	0.187514    
 93   	2.2466    	0.062514    
 94   	2.2711    	0.078139    
 95   	2.2955    	0.109389    
 96   	2.3199    	0.000014    
 97   	2.3443    	-0.109361   
 98   	2.3687    	0.109389    
