
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-0.109361   
 2    	0.0489    	-0.109361   
 3    	0.0977    	-0.093736   
 4    	0.1466    	-0.046861   
 5    	0.1954    	-0.140611   
 6    	0.2443    	0.015639    
 7    	0.2931    	-0.343736   
 8    	0.3420    	-0.015611   
 9    	0.3908    	0.218764    
 10   	0.4397    	0.125014    
 11   	0.4885    	0.078139    
 12   	0.5374    	-0.015611   
 13   	0.5862    	-0.140611   
 14   	0.6351    	-0.046861   
 15   	0.6839    	0.140639    
 16   	0.7328    	0.093764    
 17   	0.7816    	-0.093736   
 18   	0.8305    	-0.124986   
 19   	0.8793    	-0.109361   
 20   	0.9282    	-0.062486   
 21   	0.9770    	0.000014    
 22   	1.0259    	0.015639    
 23   	1.0747    	-0.187486   
 24   	1.1236    	-0.281236   
 25   	1.1724    	0.000014    
 26   	1.2213    	-0.031236   
 27   	1.2702    	-0.171861   
 28   	1.3190    	0.109389    
 29   	1.3679    	0.046889    
 30   	1.4167    	0.000014    
 31   	1.4656    	-0.109361   
 32   	1.5144    	-0.296861   
 33   	1.5633    	-0.124986   
 34   	1.6121    	-0.140611   
 35   	1.6610    	0.109389    
 36   	1.7098    	-0.124986   
 37   	1.7587    	0.000014    
 38   	1.8075    	-0.078111   
 39   	1.8564    	0.265639    
 40   	1.9052    	0.078139    
 41   	1.9541    	-0.187486   
 42   	2.0029    	-0.046861   
 43   	2.0518    	0.296889    
 44   	2.1006    	0.328139    
 45   	2.1495    	0.109389    
 46   	2.1983    	0.062514    
 47   	2.2472    	0.171889    
 48   	2.2960    	0.046889    
 49   	2.3449    	-0.203111   
 50   	2.3937    	-0.062486   
 51   	2.4426    	0.062514    
 52   	2.4915    	0.203139    
 53   	2.5403    	0.140639    
 54   	2.5892    	0.000014    
 55   	2.6380    	-0.156236   
 56   	2.6869    	-0.296861   
 57   	2.7357    	0.125014    
 58   	2.7846    	0.046889    
 59   	2.8334    	0.093764    
 60   	2.8823    	0.062514    
 61   	2.9311    	0.015639    
 62   	2.9800    	-0.078111   
 63   	3.0288    	-0.171861   
 64   	3.0777    	-0.124986   
 65   	3.1265    	-0.062486   
 66   	3.1754    	-0.171861   
 67   	3.2242    	0.156264    
 68   	3.2731    	0.015639    
 69   	3.3219    	-0.109361   
 70   	3.3708    	-0.109361   
 71   	3.4196    	-0.171861   
 72   	3.4685    	-0.140611   
 73   	3.5173    	-0.124986   
 74   	3.5662    	0.203139    
 75   	3.6150    	0.062514    
 76   	3.6639    	-0.171861   
 77   	3.7128    	-0.312486   
 78   	3.7616    	-0.203111   
 79   	3.8105    	0.031264    
 80   	3.8593    	-0.218736   
 81   	3.9082    	-0.374986   
 82   	3.9570    	-0.406236   
 83   	4.0059    	0.140639    
 84   	4.0547    	0.218764    
 85   	4.1036    	0.187514    
 86   	4.1524    	0.062514    
 87   	4.2013    	0.015639    
 88   	4.2501    	0.109389    
 89   	4.2990    	0.125014    
 90   	4.3478    	-0.140611   
 91   	4.3967    	0.250014    
 92   	4.4455    	0.265639    
 93   	4.4944    	0.296889    
 94   	4.5432    	0.125014    
 95   	4.5921    	-0.218736   
 96   	4.6409    	-0.078111   
