
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	0.250014    
 2    	0.0244    	0.218765    
 3    	0.0488    	0.218765    
 4    	0.0733    	0.250014    
 5    	0.0977    	0.171890    
 6    	0.1221    	0.281265    
 7    	0.1465    	0.359390    
 8    	0.1709    	0.234390    
 9    	0.1954    	0.140640    
 10   	0.2198    	0.343764    
 11   	0.2442    	0.343764    
 12   	0.2686    	0.250014    
 13   	0.2930    	0.125015    
 14   	0.3175    	0.281265    
 15   	0.3419    	0.203139    
 16   	0.3663    	0.453140    
 17   	0.3907    	0.203139    
 18   	0.4151    	0.234390    
 19   	0.4396    	0.281265    
 20   	0.4640    	0.156264    
 21   	0.4884    	0.171890    
 22   	0.5128    	0.250014    
 23   	0.5372    	0.343764    
 24   	0.5617    	0.140640    
 25   	0.5861    	0.250014    
 26   	0.6105    	0.218765    
 27   	0.6349    	0.265640    
 28   	0.6593    	0.046890    
 29   	0.6838    	0.171890    
 30   	0.7082    	0.171890    
 31   	0.7326    	0.156264    
 32   	0.7570    	0.296889    
 33   	0.7814    	0.375015    
 34   	0.8059    	0.312515    
 35   	0.8303    	0.500015    
 36   	0.8547    	0.500015    
 37   	0.8791    	0.453140    
 38   	0.9035    	0.406265    
 39   	0.9280    	0.484390    
 40   	0.9524    	0.328140    
 41   	0.9768    	0.437515    
 42   	1.0012    	0.187515    
 43   	1.0256    	0.156264    
 44   	1.0501    	0.140640    
 45   	1.0745    	0.312515    
 46   	1.0989    	0.515640    
 47   	1.1233    	0.281265    
 48   	1.1477    	0.234390    
 49   	1.1722    	0.234390    
 50   	1.1966    	0.109389    
 51   	1.2210    	0.250014    
 52   	1.2454    	0.218765    
 53   	1.2698    	0.343764    
 54   	1.2943    	0.390640    
 55   	1.3187    	0.437515    
 56   	1.3431    	0.468765    
 57   	1.3675    	0.421890    
 58   	1.3919    	0.234390    
 59   	1.4164    	0.375015    
 60   	1.4408    	0.203139    
 61   	1.4652    	0.234390    
 62   	1.4896    	0.203139    
 63   	1.5140    	0.062514    
 64   	1.5385    	0.078140    
 65   	1.5629    	0.250014    
 66   	1.5873    	0.218765    
 67   	1.6117    	-0.062485   
 68   	1.6361    	0.234390    
 69   	1.6606    	0.250014    
 70   	1.6850    	0.296889    
 71   	1.7094    	0.109389    
 72   	1.7338    	0.312515    
 73   	1.7582    	0.328140    
 74   	1.7827    	0.218765    
 75   	1.8071    	0.375015    
 76   	1.8315    	0.328140    
 77   	1.8559    	0.296889    
 78   	1.8803    	0.250014    
 79   	1.9048    	0.109389    
 80   	1.9292    	0.171890    
 81   	1.9536    	0.375015    
 82   	1.9780    	0.234390    
 83   	2.0024    	0.328140    
 84   	2.0269    	0.140640    
 85   	2.0513    	0.093765    
 86   	2.0757    	0.109389    
 87   	2.1001    	0.296889    
 88   	2.1245    	0.343764    
 89   	2.1490    	0.375015    
 90   	2.1734    	0.218765    
 91   	2.1978    	0.187515    
 92   	2.2222    	0.218765    
 93   	2.2466    	-0.062485   
 94   	2.2711    	0.531265    
 95   	2.2955    	0.265640    
 96   	2.3199    	0.156264    
 97   	2.3443    	0.250014    
 98   	2.3687    	0.093765    
 99   	2.3932    	0.453140    
