
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-0.093763   
 2    	0.0244    	0.124987    
 3    	0.0488    	0.171862    
 4    	0.0733    	-0.125013   
 5    	0.0977    	-0.000013   
 6    	0.1221    	0.015612    
 7    	0.1465    	0.171862    
 8    	0.1709    	-0.062513   
 9    	0.1954    	0.203112    
 10   	0.2198    	-0.171888   
 11   	0.2442    	-0.343763   
 12   	0.2686    	-0.093763   
 13   	0.2930    	0.031237    
 14   	0.3175    	0.124987    
 15   	0.3419    	-0.031263   
 16   	0.3663    	0.156237    
 17   	0.3907    	0.093737    
 18   	0.4151    	0.046862    
 19   	0.4396    	-0.046888   
 20   	0.4640    	0.015612    
 21   	0.4884    	0.093737    
 22   	0.5128    	0.062487    
 23   	0.5372    	-0.000013   
 24   	0.5617    	-0.234388   
 25   	0.5861    	-0.187513   
 26   	0.6105    	0.124987    
 27   	0.6349    	0.187487    
 28   	0.6593    	0.078112    
 29   	0.6838    	0.124987    
 30   	0.7082    	0.062487    
 31   	0.7326    	0.062487    
 32   	0.7570    	0.078112    
 33   	0.7814    	-0.015638   
 34   	0.8059    	-0.187513   
 35   	0.8303    	-0.015638   
 36   	0.8547    	0.187487    
 37   	0.8791    	0.203112    
 38   	0.9035    	-0.031263   
 39   	0.9280    	-0.046888   
 40   	0.9524    	-0.109388   
 41   	0.9768    	-0.171888   
 42   	1.0012    	0.109362    
 43   	1.0256    	0.093737    
 44   	1.0501    	-0.156263   
 45   	1.0745    	-0.078138   
 46   	1.0989    	-0.046888   
 47   	1.1233    	0.140612    
 48   	1.1477    	0.249987    
 49   	1.1722    	-0.015638   
 50   	1.1966    	-0.078138   
 51   	1.2210    	0.078112    
 52   	1.2454    	0.031237    
 53   	1.2698    	-0.078138   
 54   	1.2943    	-0.062513   
 55   	1.3187    	-0.109388   
 56   	1.3431    	-0.171888   
 57   	1.3675    	0.171862    
 58   	1.3919    	-0.015638   
 59   	1.4164    	-0.187513   
 60   	1.4408    	0.031237    
 61   	1.4652    	0.078112    
 62   	1.4896    	-0.000013   
 63   	1.5140    	-0.125013   
 64   	1.5385    	-0.281263   
 65   	1.5629    	0.078112    
 66   	1.5873    	0.078112    
 67   	1.6117    	-0.046888   
 68   	1.6361    	0.140612    
 69   	1.6606    	0.140612    
 70   	1.6850    	-0.031263   
 71   	1.7094    	-0.296888   
 72   	1.7338    	-0.156263   
 73   	1.7582    	0.062487    
 74   	1.7827    	0.031237    
 75   	1.8071    	-0.281263   
 76   	1.8315    	0.078112    
 77   	1.8559    	0.140612    
 78   	1.8803    	0.093737    
 79   	1.9048    	-0.000013   
 80   	1.9292    	0.046862    
 81   	1.9536    	0.062487    
 82   	1.9780    	-0.031263   
 83   	2.0024    	-0.046888   
 84   	2.0269    	-0.000013   
 85   	2.0513    	-0.015638   
 86   	2.0757    	0.109362    
 87   	2.1001    	-0.031263   
 88   	2.1245    	0.156237    
 89   	2.1490    	0.343737    
 90   	2.1734    	-0.015638   
 91   	2.1978    	0.046862    
 92   	2.2222    	0.109362    
 93   	2.2466    	0.109362    
 94   	2.2711    	0.015612    
 95   	2.2955    	-0.140638   
 96   	2.3199    	-0.343763   
