
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	0.375013    
 2    	0.0489    	0.640638    
 3    	0.0977    	0.765638    
 4    	0.1466    	0.718763    
 5    	0.1954    	0.656263    
 6    	0.2443    	0.500013    
 7    	0.2931    	0.609388    
 8    	0.3420    	0.968763    
 9    	0.3908    	0.656263    
 10   	0.4397    	0.750013    
 11   	0.4885    	0.453138    
 12   	0.5374    	0.781263    
 13   	0.5862    	0.875013    
 14   	0.6351    	0.687513    
 15   	0.6839    	0.640638    
 16   	0.7328    	0.578138    
 17   	0.7816    	0.625013    
 18   	0.8305    	0.593763    
 19   	0.8793    	0.750013    
 20   	0.9282    	0.671888    
 21   	0.9770    	0.750013    
 22   	1.0259    	0.718763    
 23   	1.0747    	0.375013    
 24   	1.1236    	0.515638    
 25   	1.1724    	0.609388    
 26   	1.2213    	0.468763    
 27   	1.2702    	0.625013    
 28   	1.3190    	0.765638    
 29   	1.3679    	0.718763    
 30   	1.4167    	0.562513    
 31   	1.4656    	0.546888    
 32   	1.5144    	0.500013    
 33   	1.5633    	0.312513    
 34   	1.6121    	0.859388    
 35   	1.6610    	0.671888    
 36   	1.7098    	0.718763    
 37   	1.7587    	0.671888    
 38   	1.8075    	0.687513    
 39   	1.8564    	0.500013    
 40   	1.9052    	0.468763    
 41   	1.9541    	0.468763    
 42   	2.0029    	0.437513    
 43   	2.0518    	0.562513    
 44   	2.1006    	0.828138    
 45   	2.1495    	0.843763    
 46   	2.1983    	0.750013    
 47   	2.2472    	0.781263    
 48   	2.2960    	0.687513    
 49   	2.3449    	0.609388    
 50   	2.3937    	0.500013    
 51   	2.4426    	0.562513    
 52   	2.4915    	0.531263    
 53   	2.5403    	0.593763    
 54   	2.5892    	0.765638    
 55   	2.6380    	0.437513    
 56   	2.6869    	0.406263    
 57   	2.7357    	0.375013    
 58   	2.7846    	0.531263    
 59   	2.8334    	0.203138    
 60   	2.8823    	0.625013    
 61   	2.9311    	0.718763    
 62   	2.9800    	0.531263    
 63   	3.0288    	0.750013    
 64   	3.0777    	0.703138    
 65   	3.1265    	0.953138    
 66   	3.1754    	0.609388    
 67   	3.2242    	0.531263    
 68   	3.2731    	0.640638    
 69   	3.3219    	0.437513    
 70   	3.3708    	0.609388    
 71   	3.4196    	0.671888    
 72   	3.4685    	0.796888    
 73   	3.5173    	0.796888    
 74   	3.5662    	0.484388    
 75   	3.6150    	0.562513    
 76   	3.6639    	0.734388    
 77   	3.7128    	0.578138    
 78   	3.7616    	0.453138    
 79   	3.8105    	0.671888    
 80   	3.8593    	0.890638    
 81   	3.9082    	0.859388    
 82   	3.9570    	0.843763    
 83   	4.0059    	0.703138    
 84   	4.0547    	0.703138    
 85   	4.1036    	0.734388    
 86   	4.1524    	0.734388    
 87   	4.2013    	0.593763    
 88   	4.2501    	0.515638    
 89   	4.2990    	0.515638    
 90   	4.3478    	0.406263    
 91   	4.3967    	0.609388    
 92   	4.4455    	0.656263    
 93   	4.4944    	0.812513    
 94   	4.5432    	0.671888    
 95   	4.5921    	0.453138    
 96   	4.6409    	0.750013    
 97   	4.6898    	0.546888    
 98   	4.7386    	0.468763    
 99   	4.7875    	0.343763    
