
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-81.355164  
 2    	0.0244    	-82.002014  
 3    	0.0489    	-82.002014  
 4    	0.0733    	-83.223877  
 5    	0.0977    	-82.361389  
 6    	0.1221    	-82.433289  
 7    	0.1466    	-82.720764  
 8    	0.1710    	-82.289551  
 9    	0.1954    	-82.648926  
 10   	0.2198    	-81.570801  
 11   	0.2443    	-81.714539  
 12   	0.2687    	-82.073914  
 13   	0.2931    	-82.289551  
 14   	0.3175    	-83.080139  
 15   	0.3420    	-82.864502  
 16   	0.3664    	-82.217651  
 17   	0.3908    	-82.002014  
 18   	0.4152    	-82.289551  
 19   	0.4397    	-82.289551  
 20   	0.4641    	-82.361389  
 21   	0.4885    	-81.714539  
 22   	0.5129    	-82.289551  
 23   	0.5374    	-82.361389  
 24   	0.5618    	-82.073914  
 25   	0.5862    	-82.433289  
 26   	0.6106    	-82.720764  
 27   	0.6351    	-83.080139  
 28   	0.6595    	-83.798889  
 29   	0.6839    	-83.367676  
 30   	0.7084    	-83.295776  
 31   	0.7328    	-83.152039  
 32   	0.7572    	-83.511414  
 33   	0.7816    	-83.727051  
 34   	0.8061    	-82.792664  
 35   	0.8305    	-81.858276  
 36   	0.8549    	-82.936401  
 37   	0.8793    	-82.648926  
 38   	0.9038    	-82.720764  
 39   	0.9282    	-82.577026  
 40   	0.9526    	-83.367676  
 41   	0.9770    	-82.864502  
 42   	1.0015    	-82.720764  
 43   	1.0259    	-82.720764  
 44   	1.0503    	-83.008301  
 45   	1.0747    	-82.505127  
 46   	1.0992    	-83.295776  
 47   	1.1236    	-82.720764  
 48   	1.1480    	-82.648926  
 49   	1.1724    	-83.583252  
 50   	1.1969    	-83.583252  
 51   	1.2213    	-81.714539  
 52   	1.2457    	-82.577026  
 53   	1.2702    	-82.289551  
 54   	1.2946    	-82.217651  
 55   	1.3190    	-82.792664  
 56   	1.3434    	-81.786377  
 57   	1.3679    	-83.080139  
 58   	1.3923    	-82.361389  
 59   	1.4167    	-83.367676  
 60   	1.4411    	-83.080139  
 61   	1.4656    	-82.648926  
 62   	1.4900    	-83.295776  
 63   	1.5144    	-83.152039  
 64   	1.5388    	-83.367676  
 65   	1.5633    	-82.792664  
 66   	1.5877    	-82.577026  
 67   	1.6121    	-83.583252  
 68   	1.6365    	-82.864502  
 69   	1.6610    	-83.295776  
 70   	1.6854    	-84.445801  
 71   	1.7098    	-84.230164  
 72   	1.7342    	-83.583252  
 73   	1.7587    	-83.080139  
 74   	1.7831    	-82.720764  
 75   	1.8075    	-83.655151  
 76   	1.8319    	-82.936401  
 77   	1.8564    	-82.864502  
 78   	1.8808    	-82.936401  
 79   	1.9052    	-82.433289  
 80   	1.9297    	-82.577026  
 81   	1.9541    	-81.858276  
 82   	1.9785    	-82.289551  
 83   	2.0029    	-83.511414  
 84   	2.0274    	-83.942627  
 85   	2.0518    	-83.367676  
 86   	2.0762    	-83.295776  
 87   	2.1006    	-83.295776  
 88   	2.1251    	-83.583252  
 89   	2.1495    	-83.439514  
 90   	2.1739    	-82.720764  
 91   	2.1983    	-82.289551  
 92   	2.2228    	-82.720764  
 93   	2.2472    	-82.073914  
