
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-70.002869  
 2    	0.0244    	-70.505981  
 3    	0.0489    	-70.434151  
 4    	0.0733    	-71.871643  
 5    	0.0977    	-71.152893  
 6    	0.1221    	-71.009163  
 7    	0.1466    	-71.584106  
 8    	0.1710    	-71.656006  
 9    	0.1954    	-71.009163  
 10   	0.2198    	-70.721626  
 11   	0.2443    	-71.512276  
 12   	0.2687    	-70.937263  
 13   	0.2931    	-70.865364  
 14   	0.3175    	-71.080994  
 15   	0.3420    	-71.152893  
 16   	0.3664    	-70.577881  
 17   	0.3908    	-70.649780  
 18   	0.4152    	-70.721626  
 19   	0.4397    	-70.505981  
 20   	0.4641    	-71.152893  
 21   	0.4885    	-69.284119  
 22   	0.5129    	-69.715401  
 23   	0.5374    	-69.715401  
 24   	0.5618    	-68.852905  
 25   	0.5862    	-69.931030  
 26   	0.6106    	-70.793526  
 27   	0.6351    	-70.649780  
 28   	0.6595    	-70.362244  
 29   	0.6839    	-70.793526  
 30   	0.7084    	-70.721626  
 31   	0.7328    	-70.649780  
 32   	0.7572    	-69.931030  
 33   	0.7816    	-70.505981  
 34   	0.8061    	-69.931030  
 35   	0.8305    	-70.362244  
 36   	0.8549    	-71.224739  
 37   	0.8793    	-70.865364  
 38   	0.9038    	-71.799744  
 39   	0.9282    	-71.368530  
 40   	0.9526    	-71.799744  
 41   	0.9770    	-71.727905  
 42   	1.0015    	-71.512276  
 43   	1.0259    	-71.727905  
 44   	1.0503    	-71.727905  
 45   	1.0747    	-71.512276  
 46   	1.0992    	-70.505981  
 47   	1.1236    	-70.002869  
 48   	1.1480    	-70.793526  
 49   	1.1724    	-70.434151  
 50   	1.1969    	-71.440376  
 51   	1.2213    	-70.793526  
 52   	1.2457    	-71.224739  
 53   	1.2702    	-71.296631  
 54   	1.2946    	-70.937263  
 55   	1.3190    	-70.865364  
 56   	1.3434    	-71.224739  
 57   	1.3679    	-71.512276  
 58   	1.3923    	-71.727905  
 59   	1.4167    	-72.015388  
 60   	1.4411    	-71.512276  
 61   	1.4656    	-71.080994  
 62   	1.4900    	-70.721626  
 63   	1.5144    	-69.859131  
 64   	1.5388    	-70.865364  
 65   	1.5633    	-71.080994  
 66   	1.5877    	-71.080994  
 67   	1.6121    	-71.224739  
 68   	1.6365    	-71.296631  
 69   	1.6610    	-72.015388  
 70   	1.6854    	-70.865364  
 71   	1.7098    	-71.584106  
 72   	1.7342    	-71.871643  
 73   	1.7587    	-71.440376  
 74   	1.7831    	-71.296631  
 75   	1.8075    	-71.296631  
 76   	1.8319    	-71.009163  
 77   	1.8564    	-71.656006  
 78   	1.8808    	-71.799744  
 79   	1.9052    	-70.793526  
 80   	1.9297    	-70.937263  
 81   	1.9541    	-70.074768  
 82   	1.9785    	-70.362244  
 83   	2.0029    	-70.146614  
 84   	2.0274    	-70.290413  
 85   	2.0518    	-71.368530  
 86   	2.0762    	-70.721626  
 87   	2.1006    	-71.080994  
 88   	2.1251    	-71.152893  
 89   	2.1495    	-70.505981  
 90   	2.1739    	-70.434151  
 91   	2.1983    	-69.212288  
 92   	2.2228    	-69.643501  
 93   	2.2472    	-69.859131  
