
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-66.289246  
 2    	0.0244    	-66.217407  
 3    	0.0489    	-66.504883  
 4    	0.0733    	-67.511108  
 5    	0.0977    	-67.798645  
 6    	0.1221    	-69.020508  
 7    	0.1466    	-69.092407  
 8    	0.1710    	-69.092407  
 9    	0.1954    	-69.020508  
 10   	0.2198    	-68.373657  
 11   	0.2443    	-68.589233  
 12   	0.2687    	-68.517395  
 13   	0.2931    	-68.733032  
 14   	0.3175    	-69.523613  
 15   	0.3420    	-69.164238  
 16   	0.3664    	-68.661133  
 17   	0.3908    	-68.589233  
 18   	0.4152    	-68.445488  
 19   	0.4397    	-68.517395  
 20   	0.4641    	-68.517395  
 21   	0.4885    	-68.589233  
 22   	0.5129    	-68.804863  
 23   	0.5374    	-69.307976  
 24   	0.5618    	-68.804863  
 25   	0.5862    	-68.589233  
 26   	0.6106    	-68.086113  
 27   	0.6351    	-67.942375  
 28   	0.6595    	-67.295532  
 29   	0.6839    	-67.798645  
 30   	0.7084    	-68.229858  
 31   	0.7328    	-67.583000  
 32   	0.7572    	-67.726746  
 33   	0.7816    	-68.158020  
 34   	0.8061    	-68.301750  
 35   	0.8305    	-68.804863  
 36   	0.8549    	-69.164238  
 37   	0.8793    	-68.517395  
 38   	0.9038    	-68.373657  
 39   	0.9282    	-68.373657  
 40   	0.9526    	-68.445488  
 41   	0.9770    	-67.295532  
 42   	1.0015    	-68.086113  
 43   	1.0259    	-68.733032  
 44   	1.0503    	-68.301750  
 45   	1.0747    	-68.804863  
 46   	1.0992    	-69.020508  
 47   	1.1236    	-68.661133  
 48   	1.1480    	-68.733032  
 49   	1.1724    	-68.014282  
 50   	1.1969    	-68.014282  
 51   	1.2213    	-67.798645  
 52   	1.2457    	-67.295532  
 53   	1.2702    	-67.223625  
 54   	1.2946    	-67.870483  
 55   	1.3190    	-67.726746  
 56   	1.3434    	-67.511108  
 57   	1.3679    	-68.301750  
 58   	1.3923    	-68.661133  
 59   	1.4167    	-68.014282  
 60   	1.4411    	-68.661133  
 61   	1.4656    	-68.517395  
 62   	1.4900    	-67.870483  
 63   	1.5144    	-68.086113  
 64   	1.5388    	-67.798645  
 65   	1.5633    	-67.439270  
 66   	1.5877    	-67.583000  
 67   	1.6121    	-66.864250  
 68   	1.6365    	-67.439270  
 69   	1.6610    	-68.229858  
 70   	1.6854    	-68.229858  
 71   	1.7098    	-69.523613  
 72   	1.7342    	-69.020508  
 73   	1.7587    	-68.876770  
 74   	1.7831    	-67.942375  
 75   	1.8075    	-68.014282  
 76   	1.8319    	-68.804863  
 77   	1.8564    	-68.589233  
 78   	1.8808    	-68.661133  
 79   	1.9052    	-69.307976  
 80   	1.9297    	-69.379883  
 81   	1.9541    	-69.667351  
 82   	1.9785    	-68.589233  
 83   	2.0029    	-68.589233  
 84   	2.0274    	-67.583000  
 85   	2.0518    	-68.086113  
 86   	2.0762    	-68.229858  
 87   	2.1006    	-67.583000  
 88   	2.1251    	-67.942375  
 89   	2.1495    	-67.798645  
 90   	2.1739    	-68.661133  
 91   	2.1983    	-68.373657  
 92   	2.2228    	-67.654907  
 93   	2.2472    	-68.373657  
