
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-68.257629  
 2    	0.0244    	-67.538879  
 3    	0.0489    	-68.976379  
 4    	0.0733    	-67.826416  
 5    	0.0977    	-67.179504  
 6    	0.1221    	-67.179504  
 7    	0.1466    	-67.610779  
 8    	0.1710    	-69.263916  
 9    	0.1954    	-69.263916  
 10   	0.2198    	-69.120178  
 11   	0.2443    	-69.551392  
 12   	0.2687    	-68.257629  
 13   	0.2931    	-68.832642  
 14   	0.3175    	-68.976379  
 15   	0.3420    	-68.545166  
 16   	0.3664    	-68.617004  
 17   	0.3908    	-69.407654  
 18   	0.4152    	-69.192017  
 19   	0.4397    	-68.904541  
 20   	0.4641    	-68.042053  
 21   	0.4885    	-68.760803  
 22   	0.5129    	-67.754517  
 23   	0.5374    	-68.545166  
 24   	0.5618    	-68.760803  
 25   	0.5862    	-68.617004  
 26   	0.6106    	-69.479553  
 27   	0.6351    	-68.832642  
 28   	0.6595    	-68.257629  
 29   	0.6839    	-68.329529  
 30   	0.7084    	-68.976379  
 31   	0.7328    	-68.617004  
 32   	0.7572    	-67.898254  
 33   	0.7816    	-68.257629  
 34   	0.8061    	-68.042053  
 35   	0.8305    	-68.473267  
 36   	0.8549    	-69.263916  
 37   	0.8793    	-68.904541  
 38   	0.9038    	-68.904541  
 39   	0.9282    	-69.192017  
 40   	0.9526    	-69.982666  
 41   	0.9770    	-69.551392  
 42   	1.0015    	-69.910767  
 43   	1.0259    	-70.054504  
 44   	1.0503    	-69.982666  
 45   	1.0747    	-69.695129  
 46   	1.0992    	-69.479553  
 47   	1.1236    	-69.192017  
 48   	1.1480    	-69.479553  
 49   	1.1724    	-68.257629  
 50   	1.1969    	-68.185791  
 51   	1.2213    	-67.898254  
 52   	1.2457    	-67.826416  
 53   	1.2702    	-68.329529  
 54   	1.2946    	-68.329529  
 55   	1.3190    	-68.688904  
 56   	1.3434    	-68.185791  
 57   	1.3679    	-68.473267  
 58   	1.3923    	-68.473267  
 59   	1.4167    	-69.048279  
 60   	1.4411    	-68.976379  
 61   	1.4656    	-69.192017  
 62   	1.4900    	-68.760803  
 63   	1.5144    	-68.688904  
 64   	1.5388    	-68.042053  
 65   	1.5633    	-68.688904  
 66   	1.5877    	-69.192017  
 67   	1.6121    	-69.048279  
 68   	1.6365    	-68.760803  
 69   	1.6610    	-68.401428  
 70   	1.6854    	-67.898254  
 71   	1.7098    	-68.257629  
 72   	1.7342    	-68.904541  
 73   	1.7587    	-68.760803  
 74   	1.7831    	-68.545166  
 75   	1.8075    	-69.192017  
 76   	1.8319    	-70.054504  
 77   	1.8564    	-69.623291  
 78   	1.8808    	-69.623291  
 79   	1.9052    	-70.342041  
 80   	1.9297    	-70.342041  
 81   	1.9541    	-69.048279  
 82   	1.9785    	-69.695129  
 83   	2.0029    	-69.910767  
 84   	2.0274    	-68.760803  
 85   	2.0518    	-69.192017  
 86   	2.0762    	-68.473267  
 87   	2.1006    	-68.473267  
 88   	2.1251    	-68.904541  
 89   	2.1495    	-68.904541  
 90   	2.1739    	-68.904541  
 91   	2.1983    	-69.407654  
 92   	2.2228    	-68.904541  
 93   	2.2472    	-69.551392  
