
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-2.375076   
 2    	0.0098    	-2.156326   
 3    	0.0195    	-2.125076   
 4    	0.0293    	-2.109451   
 5    	0.0391    	-2.312576   
 6    	0.0489    	-2.218826   
 7    	0.0586    	-2.281326   
 8    	0.0684    	-1.953201   
 9    	0.0782    	-2.234451   
 10   	0.0879    	-2.234451   
 11   	0.0977    	-2.125076   
 12   	0.1075    	-2.109451   
 13   	0.1172    	-2.078201   
 14   	0.1270    	-2.187576   
 15   	0.1368    	-2.109451   
 16   	0.1466    	-2.234451   
 17   	0.1563    	-2.000076   
 18   	0.1661    	-1.812576   
 19   	0.1759    	-2.234451   
 20   	0.1856    	-2.343826   
 21   	0.1954    	-2.078201   
 22   	0.2052    	-2.171951   
 23   	0.2149    	-2.218826   
 24   	0.2247    	-2.250076   
 25   	0.2345    	-2.156326   
 26   	0.2443    	-2.234451   
 27   	0.2540    	-2.187576   
 28   	0.2638    	-2.218826   
 29   	0.2736    	-2.187576   
 30   	0.2833    	-2.390701   
 31   	0.2931    	-2.281326   
 32   	0.3029    	-2.406326   
 33   	0.3127    	-2.125076   
 34   	0.3224    	-2.015701   
 35   	0.3322    	-2.015701   
 36   	0.3420    	-2.250076   
 37   	0.3517    	-2.046951   
 38   	0.3615    	-2.062576   
 39   	0.3713    	-2.140701   
 40   	0.3810    	-2.250076   
 41   	0.3908    	-2.171951   
 42   	0.4006    	-2.156326   
 43   	0.4104    	-2.250076   
 44   	0.4201    	-2.000076   
 45   	0.4299    	-2.140701   
 46   	0.4397    	-2.312576   
 47   	0.4494    	-2.296951   
 48   	0.4592    	-2.281326   
 49   	0.4690    	-2.375076   
 50   	0.4787    	-2.468826   
 51   	0.4885    	-2.265701   
 52   	0.4983    	-2.234451   
 53   	0.5081    	-2.281326   
 54   	0.5178    	-2.031326   
 55   	0.5276    	-2.078201   
 56   	0.5374    	-2.203201   
 57   	0.5471    	-2.281326   
 58   	0.5569    	-2.375076   
 59   	0.5667    	-2.078201   
 60   	0.5765    	-2.187576   
 61   	0.5862    	-2.343826   
 62   	0.5960    	-2.187576   
 63   	0.6058    	-1.921951   
 64   	0.6155    	-2.046951   
 65   	0.6253    	-2.046951   
 66   	0.6351    	-1.984451   
 67   	0.6448    	-2.140701   
 68   	0.6546    	-2.406326   
 69   	0.6644    	-2.156326   
 70   	0.6742    	-2.000076   
 71   	0.6839    	-2.359451   
 72   	0.6937    	-2.671951   
 73   	0.7035    	-2.218826   
 74   	0.7132    	-2.093826   
 75   	0.7230    	-2.156326   
 76   	0.7328    	-2.312576   
 77   	0.7426    	-2.171951   
 78   	0.7523    	-2.265701   
 79   	0.7621    	-2.328201   
 80   	0.7719    	-2.250076   
 81   	0.7816    	-2.296951   
 82   	0.7914    	-2.125076   
 83   	0.8012    	-2.187576   
 84   	0.8109    	-1.890701   
 85   	0.8207    	-1.968826   
 86   	0.8305    	-2.078201   
 87   	0.8403    	-2.203201   
 88   	0.8500    	-2.078201   
 89   	0.8598    	-2.312576   
 90   	0.8696    	-2.156326   
 91   	0.8793    	-2.265701   
 92   	0.8891    	-1.843826   
 93   	0.8989    	-2.031326   
