
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-2.031328   
 2    	0.0098    	-2.218828   
 3    	0.0195    	-2.265703   
 4    	0.0293    	-2.250078   
 5    	0.0391    	-2.250078   
 6    	0.0489    	-2.437578   
 7    	0.0586    	-2.437578   
 8    	0.0684    	-2.312578   
 9    	0.0782    	-2.031328   
 10   	0.0879    	-2.078203   
 11   	0.0977    	-2.015703   
 12   	0.1075    	-2.125078   
 13   	0.1172    	-2.390703   
 14   	0.1270    	-2.296953   
 15   	0.1368    	-1.984453   
 16   	0.1466    	-2.250078   
 17   	0.1563    	-2.140703   
 18   	0.1661    	-2.281328   
 19   	0.1759    	-2.203202   
 20   	0.1856    	-2.234452   
 21   	0.1954    	-2.281328   
 22   	0.2052    	-2.125078   
 23   	0.2149    	-2.203202   
 24   	0.2247    	-2.187578   
 25   	0.2345    	-1.984453   
 26   	0.2443    	-2.046953   
 27   	0.2540    	-2.140703   
 28   	0.2638    	-2.218828   
 29   	0.2736    	-2.312578   
 30   	0.2833    	-2.265703   
 31   	0.2931    	-2.203202   
 32   	0.3029    	-2.171953   
 33   	0.3127    	-2.281328   
 34   	0.3224    	-2.156328   
 35   	0.3322    	-2.187578   
 36   	0.3420    	-2.546952   
 37   	0.3517    	-2.203202   
 38   	0.3615    	-2.109453   
 39   	0.3713    	-2.140703   
 40   	0.3810    	-2.156328   
 41   	0.3908    	-2.218828   
 42   	0.4006    	-2.484453   
 43   	0.4104    	-2.046953   
 44   	0.4201    	-2.062577   
 45   	0.4299    	-2.171953   
 46   	0.4397    	-2.140703   
 47   	0.4494    	-2.312578   
 48   	0.4592    	-2.484453   
 49   	0.4690    	-2.578203   
 50   	0.4787    	-2.218828   
 51   	0.4885    	-2.109453   
 52   	0.4983    	-2.328203   
 53   	0.5081    	-2.078203   
 54   	0.5178    	-2.140703   
 55   	0.5276    	-2.218828   
 56   	0.5374    	-2.265703   
 57   	0.5471    	-2.062577   
 58   	0.5569    	-2.218828   
 59   	0.5667    	-2.015703   
 60   	0.5765    	-2.218828   
 61   	0.5862    	-2.062577   
 62   	0.5960    	-2.296953   
 63   	0.6058    	-2.359453   
 64   	0.6155    	-2.125078   
 65   	0.6253    	-1.937578   
 66   	0.6351    	-1.953203   
 67   	0.6448    	-1.953203   
 68   	0.6546    	-2.000078   
 69   	0.6644    	-2.093827   
 70   	0.6742    	-2.265703   
 71   	0.6839    	-2.015703   
 72   	0.6937    	-2.031328   
 73   	0.7035    	-1.890703   
 74   	0.7132    	-2.093827   
 75   	0.7230    	-2.390703   
 76   	0.7328    	-2.406327   
 77   	0.7426    	-2.328203   
 78   	0.7523    	-2.437578   
 79   	0.7621    	-2.406327   
 80   	0.7719    	-2.296953   
 81   	0.7816    	-2.109453   
 82   	0.7914    	-2.421953   
 83   	0.8012    	-1.984453   
 84   	0.8109    	-2.140703   
 85   	0.8207    	-2.046953   
 86   	0.8305    	-2.093827   
 87   	0.8403    	-2.109453   
 88   	0.8500    	-1.906328   
 89   	0.8598    	-2.046953   
 90   	0.8696    	-2.390703   
 91   	0.8793    	-2.031328   
 92   	0.8891    	-2.187578   
 93   	0.8989    	-2.500078   
